Link,Status
https://www.ihg.com/destinations/us/en/united-states/arizona/bullhead-city-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/casa-grande-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/chandler-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/chinle-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/flagstaff-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/gilbert-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/glendale-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/globe-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/goodyear-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/grand-canyon-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/kingman-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/lake-havasu-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/peoria-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/phoenix-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/show-low-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/sierra-vista-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/surprise-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/tempe-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/tucson-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/willcox-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/arizona/williams-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/auburn-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/bedford-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/bloomington-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/carmel-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/edinburgh-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/elkhart-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/fishers-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/fort-wayne-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/fremont-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/french-polynesia/faaa-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/greensburg-hotels,Success
https://www.ihg.com/destinations/us/en/united-states/indiana/greenwood-hotels,Success
