hotel_id,hotel_name,hotel_brand,sub_brand,hotel_code,image,hotel_address,hotel_zipcode,hotel_city,hotel_province,hotel_country,hotel_longitude,hotel_latitude,hotel_status
9299,Hampton by Hilton Dongguan Fenggang,Hilton,HP,SZXDFHX,https://www.hilton.com/im/en/SZXDFHX/16615789/szxdf-exterior-2.jpg?impolicy=crop&cw=5000&ch=3333&gravity=NorthWest&xposition=0&yposition=0&rw=300&rh=200,"No.6 Senhu Second Road,",523686,Dongguan,,China,114.146484,22.728495,Open
9300,Hampton by Hilton  Zhuhai Doumen,Hilton,HP,MFMZUHX,https://www.hilton.com/im/en/MFMZUHX/14412159/mfmzuhx-exterior.jpg?impolicy=crop&cw=4500&ch=2992&gravity=NorthWest&xposition=0&yposition=3&rw=200&rh=133,"No.17 Baijiao South Road,",519100,Zhuhai,,China,113.304364,22.19698,Open
9301,Hampton by Hilton Zhuhai Gongbei Port,Hilton,HP,ZUHZAHX,https://www.hilton.com/im/en/ZUHZAHX/14503507/zuhzahx-exterior.jpg?impolicy=crop&cw=4651&ch=3093&gravity=NorthWest&xposition=424&yposition=0&rw=200&rh=133,1025 East Yuehai Road,519000,Zhuhai,,China,113.551538159,22.2284837852,Open
9302,Hampton Apartments by Hilton Shenzhen Futian Mangrove Park,Hilton,HP,SZXFHHX,https://www.hilton.com/im/en/SZXFHHX/14492323/szxfhhx-exterior.jpg?impolicy=crop&cw=5460&ch=3640&gravity=NorthWest&xposition=2&yposition=0&rw=300&rh=200,"Yitian 5th Road,",518017,Shenzhen,,China,114.046038,22.515496,Open
9303,Hilton Shenzhen Futian,Hilton,HI,SZXSFHI,https://www.hilton.com/im/en/SZXSFHI/5579987/szxsf-exterior.jpg?impolicy=crop&cw=3840&ch=2560&gravity=NorthWest&xposition=0&yposition=224&rw=300&rh=200,"Tower B, Great China International",518000,Shenzhen,,China,114.07636,22.544993,Open
9304,Hilton Zhuhai,Hilton,HI,ZUHHIHI,https://www.hilton.com/im/en/ZUHHIHI/18018932/-k1d-result.jpg?impolicy=crop&cw=3759&ch=2500&gravity=NorthWest&xposition=620&yposition=0&rw=200&rh=133,"No.2989 Nanwan South Road,",519030,Zhuhai,,China,113.529873,22.186551,
9305,Hampton by Hilton Shenzhen Futian Port,Hilton,HP,SZXADHX,https://www.hilton.com/im/en/NoHotel/14937137/cnhx-generic-lobby-01.jpg?impolicy=crop&cw=6721&ch=4480&gravity=NorthWest&xposition=0&yposition=0&rw=300&rh=200,"No. 38 Yuheng Road, Futian District",518015,Shenzhen,,China,114.072072,22.516788,Open
9306,Hampton by Hilton Shenzhen Dongmen,Hilton,HP,SZXXXHX,https://www.hilton.com/im/en/SZXXXHX/15115455/exterior.jpg?impolicy=crop&cw=5484&ch=3646&gravity=NorthWest&xposition=0&yposition=4&rw=200&rh=133,"3022 Dongmen South Road,",518000,Shenzhen,,China,114.123931,22.54305,Open
9307,Hilton Garden Inn Zhuhai Hengqin,Hilton,GI,MFMZHGI,https://www.hilton.com/im/en/MFMZHGI/10585234/hotel-exterior-day.jpg?impolicy=crop&cw=5392&ch=3586&gravity=NorthWest&xposition=2&yposition=0&rw=200&rh=133,"Bld 2, Hengqin Int'l Innotech Ctr,",519031,Zhuhai,,China,113.4683203697,22.1376049373,Open
9308,Hilton Garden Inn Zhuhai Hengqin Sumlodol Park,Hilton,GI,MFMHQGI,https://www.hilton.com/im/en/MFMHQGI/15117096/exterior-photo-.jpg?impolicy=crop&cw=5000&ch=3325&gravity=NorthWest&xposition=0&yposition=4&rw=200&rh=133,"No.2169 Huandao North Road,",519031,"Zhuhai, Guangdong Province",,China,113.4683203697,22.1376049373,Open
9309,Hampton by Hilton Shenzhen Longgang Yonghu,Hilton,HP,SZXLYHX,https://www.hilton.com/im/en/SZXLYHX/18868695/main-1-.jpg?impolicy=crop&cw=4500&ch=2992&gravity=NorthWest&xposition=0&yposition=3&rw=200&rh=133,"Unit C, Building1,",518115,Shenzhen,,China,114.220132,22.660838,Open
9310,Conrad Macao,Hilton,CH,MFMCSCI,https://www.hilton.com/im/en/MFMCSCI/1394435/mice-classroom-set-up.jpg?impolicy=crop&cw=4511&ch=3000&gravity=NorthWest&xposition=35&yposition=0&rw=200&rh=133,Estrada do Istmo. s n Cotai,519020,Macao,,Macao,113.564279,22.146775,Open
9311,DoubleTree by Hilton Zhuhai Hengqin,Hilton,DT,ZUHAIDI,https://www.hilton.com/im/en/ZUHAIDI/18975421/exterior.jpg?impolicy=crop&cw=3500&ch=2327&gravity=NorthWest&xposition=0&yposition=532&rw=200&rh=133,"No. 258 Haojiang Road, Hengqin,",519031,Zhuhai,,China,113.540126,22.138,
9312,Hampton by Hilton Shenzhen Yuanshan,Hilton,HP,SZXHEHX,https://www.hilton.com/im/en/SZXHEHX/16023296/exterior.jpg?impolicy=crop&cw=4500&ch=2992&gravity=NorthWest&xposition=0&yposition=3&rw=200&rh=133,"No.5 Tianran Huigu Industrial Park,",518115,Shenzhen,,China,114.217376,22.630891,Open
9313,Hampton by Hilton Huizhou Zhongkai Hi-Tech Zone,Hilton,HP,HUZHUHX,https://www.hilton.com/im/en/HUZHUHX/16194015/huzhu-exterior-new.jpg?impolicy=crop&cw=5000&ch=3325&gravity=NorthWest&xposition=0&yposition=212&rw=200&rh=133,"No.6 Chenjiang Middle Avenue,",516000,Huizhou,,China,114.412599,23.079404,Open
9314,Hampton by Hilton Shenzhen Pingshan Station,Hilton,HP,SZXPGHX,https://www.hilton.com/im/en/SANDTHX/11488675/szxpghx-exterior.jpg?impolicy=crop&cw=5186&ch=3448&gravity=NorthWest&xposition=0&yposition=5&rw=200&rh=133,"2 Jinlong Avenue, Baolong Street,",518118,Shenzhen,,China,114.31592676,22.69320679,Open
9315,Hampton by Hilton Shenzhen Dameisha,Hilton,HP,SZXYAHX,https://www.hilton.com/im/en/SZXYAHX/16791562/outside-2-.jpg?impolicy=crop&cw=5000&ch=3325&gravity=NorthWest&xposition=0&yposition=4&rw=200&rh=133,"100 Yanmei Road, Yantian District,",518000,Shenzhen,,China,114.306756,22.593747,Open
9316,Hilton Garden Inn Hong Kong Mongkok,Hilton,GI,HKGMSGI,https://www.hilton.com/im/en/HKGMSGI/5098317/img-7707-hdr-edit-2.jpg?impolicy=crop&cw=5472&ch=3638&gravity=NorthWest&xposition=0&yposition=4&rw=200&rh=133,"2 Soy Street,",518000,Hong Kong,,Hong Kong,114.167011,22.315739,Open
